sample,condition,raw
BRAIN_01,Healthy,7586
BRAIN_01,Healthy,9433
BRAIN_01,Healthy,12349
BRAIN_01,Healthy,2201
BRAIN_01,Healthy,1952
BRAIN_01,Healthy,2044
BRAIN_01,Healthy,15454
BRAIN_01,Healthy,21694
BRAIN_01,Healthy,9369
BRAIN_01,Healthy,1967
BRAIN_01,Healthy,1991
BRAIN_01,Healthy,18049
BRAIN_01,Healthy,12539
BRAIN_01,Healthy,10016
BRAIN_01,Healthy,1660
BRAIN_01,Healthy,10608
BRAIN_01,Healthy,6973
BRAIN_01,Healthy,13719
BRAIN_01,Healthy,1058
BRAIN_01,Healthy,9428
BRAIN_01,Healthy,1302
BRAIN_01,Healthy,3650
BRAIN_01,Healthy,10646
BRAIN_01,Healthy,7314
BRAIN_01,Healthy,11791
BRAIN_01,Healthy,1388
BRAIN_01,Healthy,10207
BRAIN_01,Healthy,8116
BRAIN_01,Healthy,2834
BRAIN_01,Healthy,21209
BRAIN_01,Healthy,11976
BRAIN_01,Healthy,23909
BRAIN_01,Healthy,13485
BRAIN_01,Healthy,17277
BRAIN_01,Healthy,12342
BRAIN_01,Healthy,22254
BRAIN_01,Healthy,10356
BRAIN_01,Healthy,1450
BRAIN_01,Healthy,1345
BRAIN_01,Healthy,8083
BRAIN_01,Healthy,9199
BRAIN_01,Healthy,6201
BRAIN_01,Healthy,2651
BRAIN_01,Healthy,9320
BRAIN_01,Healthy,8299
BRAIN_01,Healthy,27425
BRAIN_01,Healthy,1486
BRAIN_01,Healthy,1346
BRAIN_01,Healthy,5418
BRAIN_01,Healthy,15252
BRAIN_01,Healthy,16141
BRAIN_01,Healthy,6657
BRAIN_01,Healthy,24852
BRAIN_01,Healthy,7748
BRAIN_01,Healthy,12221
BRAIN_01,Healthy,3124
BRAIN_01,Healthy,1712
BRAIN_01,Healthy,16109
BRAIN_01,Healthy,1025
BRAIN_01,Healthy,12773
BRAIN_01,Healthy,15584
BRAIN_01,Healthy,11529
BRAIN_01,Healthy,9472
BRAIN_01,Healthy,2106
BRAIN_01,Healthy,2610
BRAIN_01,Healthy,5937
BRAIN_01,Healthy,26683
BRAIN_01,Healthy,6036
BRAIN_01,Healthy,6753
BRAIN_01,Healthy,1489
BRAIN_01,Healthy,10655
BRAIN_01,Healthy,1727
BRAIN_01,Healthy,10179
BRAIN_01,Healthy,3078
BRAIN_01,Healthy,10863
BRAIN_01,Healthy,4427
BRAIN_01,Healthy,16864
BRAIN_01,Healthy,16001
BRAIN_01,Healthy,2306
BRAIN_01,Healthy,16650
BRAIN_01,Healthy,1875
BRAIN_01,Healthy,7311
BRAIN_01,Healthy,7073
BRAIN_01,Healthy,13551
BRAIN_01,Healthy,12322
BRAIN_01,Healthy,10570
BRAIN_01,Healthy,2534
BRAIN_01,Healthy,20957
BRAIN_01,Healthy,7142
BRAIN_01,Healthy,8336
BRAIN_01,Healthy,2906
BRAIN_01,Healthy,3772
BRAIN_01,Healthy,3541
BRAIN_01,Healthy,11418
BRAIN_01,Healthy,22531
BRAIN_01,Healthy,23052
BRAIN_01,Healthy,8524
BRAIN_01,Healthy,4084
BRAIN_01,Healthy,8752
BRAIN_01,Healthy,15723
BRAIN_01,Healthy,15497
BRAIN_01,Healthy,1291
BRAIN_01,Healthy,4150
BRAIN_01,Healthy,9780
BRAIN_01,Healthy,2902
BRAIN_01,Healthy,5000
BRAIN_01,Healthy,4632
BRAIN_01,Healthy,10210
BRAIN_01,Healthy,4314
BRAIN_01,Healthy,3206
BRAIN_01,Healthy,17108
BRAIN_01,Healthy,16368
BRAIN_01,Healthy,27980
BRAIN_01,Healthy,3602
BRAIN_01,Healthy,3294
BRAIN_01,Healthy,2092
BRAIN_01,Healthy,5523
BRAIN_01,Healthy,2226
BRAIN_01,Healthy,4357
BRAIN_01,Healthy,10294
BRAIN_01,Healthy,4479
BRAIN_01,Healthy,1045
BRAIN_01,Healthy,4900
BRAIN_01,Healthy,17121
BRAIN_01,Healthy,2233
BRAIN_01,Healthy,4783
BRAIN_01,Healthy,19837
BRAIN_01,Healthy,15968
BRAIN_01,Healthy,5875
BRAIN_01,Healthy,5916
BRAIN_01,Healthy,3164
BRAIN_01,Healthy,5752
BRAIN_01,Healthy,938
BRAIN_01,Healthy,4221
BRAIN_01,Healthy,15001
BRAIN_01,Healthy,16197
BRAIN_01,Healthy,4254
BRAIN_01,Healthy,3619
BRAIN_01,Healthy,1305
BRAIN_01,Healthy,2038
BRAIN_01,Healthy,5823
BRAIN_01,Healthy,10750
BRAIN_01,Healthy,2847
BRAIN_01,Healthy,14118
BRAIN_01,Healthy,9883
BRAIN_01,Healthy,1469
