UMAP_1,UMAP_2,Level_3
-1.3901477025203457,14.463599055637507,Choroid
11.396928174669291,7.068061679233699,Microglia
10.127086026842145,1.7178225215570022,Microglia
10.58759723442271,7.008080333103328,Microglia
1.3631274535007725,10.011356204380183,Neural
-7.589809076612448,9.122846454013972,Astrocyte
-13.05070080024526,-3.864319235454411,Endothelial
-9.148406641309712,9.50796303116241,Astrocyte
-4.062608854597067,11.522953837742,Ependymal
-7.897278444593405,10.758646815647271,Astrocyte
-6.998887674634909,9.485274165500789,Astrocyte
12.554941518480328,4.245259135593562,Microglia
-0.6754012273006191,14.796885341037898,Choroid
12.576044423753764,2.969425528873592,Microglia
-9.573715822523091,6.993786662449031,Astrocyte
-9.280945436780904,6.229055732120662,Astrocyte
-8.083921091382955,10.014656871189263,Astrocyte
11.67253909843638,-2.2848640982016035,Macrophage
-6.925406114881491,8.396056979526668,Astrocyte
-13.831664697950336,-3.638923555980534,Endothelial
1.772332770998026,11.21070846878448,Neural
9.517788274461772,6.184199660648494,Microglia
10.74490581291392,7.101204245914607,Microglia
10.514883382493998,7.00053247772613,Microglia
-6.660956518476461,9.380131572117,Astrocyte
12.782298429185891,5.271035521854548,Microglia
-8.026619570081685,10.689100116123347,Astrocyte
-8.353388445203755,6.812590926517634,Astrocyte
-6.909097807233786,-13.357657581935737,OPC/COP/OLG
-5.943724291151022,-13.035551220546576,OPC/COP/OLG
-13.135333673780416,-4.473846108089299,Endothelial
-7.713029520338034,8.899412959446101,Astrocyte
-4.0369755194835415,11.48913750015655,Ependymal
12.994483335191752,2.525146334995418,Microglia
-8.886889116590474,6.88766273819366,Astrocyte
-9.969175951307273,6.933641761173396,Astrocyte
12.26248965995982,2.340858310093074,Microglia
12.4421876503773,1.8845117982522537,Microglia
-1.340313212697958,13.206705897678525,Choroid
-1.5913514064006558,14.281728595127252,Choroid
-13.12622513038442,-4.476939827571721,Endothelial
12.88709674614146,5.746546119083552,Microglia
-6.912593977277731,9.429779857029107,Astrocyte
11.307678563768413,6.966559737552791,Microglia
-1.4692381785564177,13.132097094883113,Choroid
12.681261403734233,1.9174347814218091,Microglia
-14.211736337964986,-3.634594351421208,Endothelial
-7.303049700086569,8.827894061435847,Astrocyte
-7.7148391173534145,9.10142120682159,Astrocyte
-7.586330072706198,-3.8025425974234057,OPC/COP/OLG
12.779779775316264,4.188189833988337,Microglia
10.95773540275767,7.151689856876521,Microglia
12.407914502794291,5.981849044193416,Microglia
-13.010053293531392,-3.706053167949528,Endothelial
13.284311635667828,5.744270175327449,Microglia
12.832268102342631,5.806989043583064,Microglia
10.548283918077496,6.799861758579402,Microglia
12.054942472154645,6.5766013558999585,Microglia
-8.483977930372212,0.6196605857507278,OPC/COP/OLG
-1.3181016610316982,14.765436976780084,Choroid
-8.945217745130513,8.17039093338409,Astrocyte
-0.6645245121173611,14.877326815952449,Choroid
-0.5569419429950466,13.95355686508575,Choroid
-5.769490854566549,-12.88589683211884,OPC/COP/OLG
-7.591721670454,-3.732309729228825,OPC/COP/OLG
-7.544297830884909,-13.337867886195989,OPC/COP/OLG
12.406247480089212,5.587347358097224,Microglia
10.843242032701518,6.400284617771296,Microglia
1.940946324045206,11.31749328934112,Neural
-14.85583366615102,1.3805399831430007,Mural
-7.817495004957174,9.656845897068171,Astrocyte
-8.336185114210103,0.47086641155639186,OPC/COP/OLG
8.134810788805034,5.918593257297664,Microglia
13.440156324083354,4.099135726322322,Microglia
2.3459943367786655,11.430024951328424,Neural
-1.0023998187236538,14.159154742588193,Choroid
12.690247876817727,2.5188027318612627,Microglia
12.46999297874644,5.553894370426326,Microglia
12.10833297508433,1.4814234670297195,Microglia
-0.5086619423084011,13.659582942356256,Choroid
-8.274407045667623,9.47911438309112,Astrocyte
12.885790212327985,4.974645942081599,Microglia
-14.706360475843404,1.3194745477334549,Mural
2.159134133035685,11.57530578934112,Neural
10.817847593004252,7.1070202287332105,Microglia
1.137147052461649,9.66405090652862,Neural
