panel,group.var,color.var,y,group_sum,y_scaled,color_var_sum,y_scaled_within_color,scaled_color_sum,y_scaled_all,.group
all,Recurrent,NKTB,0.021403304526933238,22333,0.021403304526933238,930,0.513978494623656,3.6023191610823133,0.1426798880500171,3
all,Recurrent,Choroid,1.3433036313974836e-4,22333,1.3433036313974836e-4,977,0.0030706243602865915,3.6023191610823133,8.524020840407782e-4,3
all,Recurrent,Endothelial,0.004522455559038195,22333,0.004522455559038195,1947,0.05187467899332306,3.6023191610823133,0.01440035617991643,3
all,Recurrent,Mural,8.507589665517395e-4,22333,8.507589665517395e-4,640,0.0296875,3.6023191610823133,0.008241218690650502,3
all,Recurrent,Fibroblast,0.0040746876819057,22333,0.0040746876819057,378,0.24074074074074073,3.6023191610823133,0.0668293757370489,3
all,Recurrent,Neoplastic,0.7579814624098867,22333,0.7579814624098867,33727,0.5019124143861001,3.6023191610823133,0.13933035690133047,3
non-neoplastic,Healthy,Astrocyte,0.22221076510620746,19396,0.22221076510620746,5110,0.8434442270058709,7.5679565203959545,0.11144940179462633,1
non-neoplastic,Healthy,OPC/COP/OLG,0.1674056506496185,19396,0.1674056506496185,4909,0.6614381747810144,7.5679565203959545,0.08739983811989555,1
non-neoplastic,Healthy,Neural,0.05954836048669829,19396,0.05954836048669829,1442,0.8009708737864077,7.5679565203959545,0.10583714000308515,1
non-neoplastic,Healthy,Ependymal,0.010930088678077954,19396,0.010930088678077954,229,0.925764192139738,7.5679565203959545,0.12232683811604433,1
non-neoplastic,Healthy,Microglia,0.33831717879975254,19396,0.33831717879975254,9587,0.6844685511630333,7.5679565203959545,0.09044298144662465,1
non-neoplastic,Healthy,Macrophage,0.019282326252835637,19396,0.019282326252835637,3457,0.10818628868961527,7.5679565203959545,0.01429531055021904,1
non-neoplastic,Healthy,Dendritic,0.0011342544854609198,19396,0.0011342544854609198,617,0.03565640194489465,7.5679565203959545,0.004711496670045498,1
non-neoplastic,Healthy,Neutrophil,9.28026397195298e-4,19396,9.28026397195298e-4,122,0.14754098360655737,7.5679565203959545,0.019495485103399886,1
non-neoplastic,Healthy,NKTB,0.006032171581769437,19396,0.006032171581769437,930,0.12580645161290321,7.5679565203959545,0.016623569555909795,1
non-neoplastic,Healthy,Choroid,0.04944318416168282,19396,0.04944318416168282,977,0.9815762538382804,7.5679565203959545,0.12970162436754124,1
non-neoplastic,Healthy,Endothelial,0.08506908640956898,19396,0.08506908640956898,1947,0.847457627118644,7.5679565203959545,0.1119797166956114,1
non-neoplastic,Healthy,Mural,0.030057743864714374,19396,0.030057743864714374,640,0.9109375,7.5679565203959545,0.12036769734934204,1
non-neoplastic,Healthy,Fibroblast,0.009641163126417818,19396,0.009641163126417818,378,0.4947089947089947,7.5679565203959545,0.06536890022765506,1
non-neoplastic,Primary,Astrocyte,0.07575757575757576,5544,0.07575757575757576,5110,0.0821917808219178,2.331636732907833,0.03525068020326422,2
non-neoplastic,Primary,OPC/COP/OLG,0.23773448773448774,5544,0.23773448773448774,4909,0.2684864534528417,2.331636732907833,0.11514934966649228,2
non-neoplastic,Primary,Neural,0.03643578643578643,5544,0.03643578643578643,1442,0.14008321775312066,2.331636732907833,0.06007934931545702,2
non-neoplastic,Primary,Ependymal,0.002344877344877345,5544,0.002344877344877345,229,0.056768558951965066,2.331636732907833,0.02434708552612645,2
non-neoplastic,Primary,Microglia,0.36778499278499277,5544,0.36778499278499277,9587,0.2126838427036612,2.331636732907833,0.09121654316983534,2
non-neoplastic,Primary,Macrophage,0.11994949494949494,5544,0.11994949494949494,3457,0.1923633207983801,2.331636732907833,0.08250141116900304,2
non-neoplastic,Primary,Dendritic,0.02976190476190476,5544,0.02976190476190476,617,0.26742301458670986,2.331636732907833,0.11469325852196581,2
non-neoplastic,Primary,Neutrophil,0.006854256854256854,5544,0.006854256854256854,122,0.3114754098360656,2.331636732907833,0.13358659410362697,2
