group.var,color.var,y,group_sum,y_scaled,color_var_sum,y_scaled_within_color,scaled_color_sum,y_scaled_all,.group
16,rcas_high,0.2583412774070543,1049,0.2583412774070543,26400,0.010265151515151515,0.05640177484458435,0.18200050518688893,19
21,rcas_neg,0.8247619047619048,525,0.8247619047619048,32093,0.01349203876234693,0.023367346666295304,0.5773885651214151,20
21,rcas_low,0.10095238095238095,525,0.10095238095238095,6311,0.008398035176675646,0.023367346666295304,0.3593919025812563,20
21,rcas_high,0.07428571428571429,525,0.07428571428571429,26400,0.0014772727272727272,0.023367346666295304,0.06321953229732849,20
01,rcas_neg,0.06972024931149443,13798,0.06972024931149443,32093,0.029975384040133363,0.7454000213977052,0.04021382234994613,21
01,rcas_low,0.13777359037541673,13798,0.13777359037541673,6311,0.30122009190302645,0.7454000213977052,0.4041052901208755,21
01,rcas_high,0.7925061603130888,13798,0.7925061603130888,26400,0.41420454545454544,0.7454000213977052,0.5556808875291784,21
03,rcas_neg,0.037279151943462895,5660,0.037279151943462895,32093,0.006574642445393076,0.28966167062610687,0.0226976611409508,22
03,rcas_low,0.11236749116607773,5660,0.11236749116607773,6311,0.10077642212010775,0.28966167062610687,0.3479107950398767,22
03,rcas_high,0.8503533568904593,5660,0.8503533568904593,26400,0.18231060606060606,0.28966167062610687,0.6293915438191725,22
05,rcas_neg,0.05261730404122593,3687,0.05261730404122593,32093,0.0060449319166173306,0.18899691450593947,0.031984288909792546,23
05,rcas_low,0.11391375101708706,3687,0.11391375101708706,6311,0.066550467437807,0.18899691450593947,0.35212462389546345,23
05,rcas_high,0.833468944941687,3687,0.833468944941687,26400,0.11640151515151514,0.18899691450593947,0.615891087194744,23
10,rcas_neg,3.7037037037037035e-4,2700,3.7037037037037035e-4,32093,3.11594428691615e-5,0.11227370852744012,2.775310736399699e-4,24
10,rcas_low,0.030740740740740742,2700,0.030740740740740742,6311,0.01315163999366186,0.11227370852744012,0.11713908951753874,24
10,rcas_high,0.9688888888888889,2700,0.9688888888888889,26400,0.09909090909090909,0.11227370852744012,0.8825833794088213,24
11,rcas_neg,0.03193464537690308,2693,0.03193464537690308,32093,0.002679712086747889,0.1454394797843226,0.01842492898573159,25
11,rcas_low,0.13553657630894914,2693,0.13553657630894914,6311,0.05783552527333228,0.1454394797843226,0.3976604245222731,25
11,rcas_high,0.8325287783141478,2693,0.8325287783141478,26400,0.08492424242424243,0.1454394797843226,0.5839146464919953,25
12,rcas_neg,0.12457627118644068,2360,0.12457627118644068,32093,0.00916087620353348,0.18303419383556604,0.05005008087048157,26
12,rcas_low,0.3360169491525424,2360,0.3360169491525424,6311,0.1256536206623356,0.18303419383556604,0.6865035326416663,26
12,rcas_high,0.5394067796610169,2360,0.5394067796610169,26400,0.04821969696969697,0.18303419383556604,0.26344638648785207,26
