avg.exp,pct.exp,features.plot,id,avg.exp.scaled
0.3431425417366803,10.587084148727985,Sox11,Astrocyte,-0.2189426016370889
0.09015657554199287,2.818003913894325,Tub,Astrocyte,-0.5596120563559371
1.0152637913602998,7.553816046966732,Igfbp3,Astrocyte,0.4078957057007486
0.04532715618718406,1.4285714285714286,Pcdh15,Astrocyte,-0.44285205811945916
0.28910730325237943,5.048923679060666,Matn4,Astrocyte,-0.10700554029596307
0.15790966900146539,3.287671232876712,Sox10,Astrocyte,-0.34185309003382
0.5514265330796118,15.244618395303327,Olig1,Astrocyte,-0.04530269517215881
0.5821083000090389,13.698630136986301,Plppr5,Astrocyte,0.28414075207817746
0.035926697548808124,1.643835616438356,Pnlip,Astrocyte,-0.3640621655784841
0.2795697879925838,8.023483365949119,Ncald,Astrocyte,-0.45595957097238005
0.33091770652734037,10.489236790606654,Nsg1,Astrocyte,-0.3516612499741675
1.4119960185700997,29.8825831702544,Cntn1,Astrocyte,0.3131680402198286
0.5865567707433198,17.16242661448141,Mmp15,Astrocyte,-0.3370134233369893
9.288874771429702,56.3013698630137,Fabp7,Astrocyte,1.6655732011165847
0.4639628990909445,9.530332681017613,Zdhhc2,Astrocyte,-0.12009731083914586
0.3211762041764431,8.669275929549903,Uchl1,Astrocyte,-0.36504363046739013
0.15157020247734207,5.617198335644938,Tg-hPDGFB-nHA,Neural,-0.32327177386434996
0.33642416579643436,11.44244105409154,Lhfpl3,Neural,-0.18726279947521685
0.04566551702066535,1.872399445214979,Cdkn2a,Neural,-0.43020180079359743
0.5443287354206807,12.482662968099861,Vxn,Neural,0.14989292263462478
0.13374750923136247,6.588072122052704,Pdgfra,Neural,-0.4936575094033621
2.0310792135587814,42.0249653259362,Gap43,Neural,1.1419822720008355
1.3858904265709162,45.83911234396672,Cacng4,Neural,0.6998095720274711
0.04936010747930992,2.8432732316227463,Moxd1,Neural,-0.31345860362604583
0.5169706036698298,18.377253814147018,Col11a1,Neural,0.29269626796877246
18.8759136428839,78.36338418862691,Sox11,Neural,2.5
0.7275587646334253,25.312066574202497,Tub,Neural,0.5655469126616782
0.10654544299576198,4.5769764216366156,Igfbp3,Neural,-0.5611693001308818
0.6297169307051541,14.424410540915394,Pcdh15,Neural,0.2722410641394367
0.17308691051952443,4.0221914008321775,Matn4,Neural,-0.2695967638164585
0.3135325469102475,6.102635228848821,Sox10,Neural,-0.1787872053754537
