x,y,score
Dendritic,Neopl-CC-III,-0.3
Dendritic,Neopl-OPC,-0.41
Dendritic,Neopl-COP,-0.21
Dendritic,Neopl-NC,-0.15
Dendritic,Neopl-ACR,-0.22
Dendritic,Neopl-ECM,-0.35
Dendritic,Neopl-RNA-low,-0.27
Neutrophil,Astrocyte TE,-0.09
Neutrophil,Astrocyte NT,-0.09
Neutrophil,Astrocyte R,-0.06
Neutrophil,OPC/COP/OLG,-0.17
Neutrophil,Neural,-0.09
Neutrophil,Ependymal,-0.02
Neutrophil,Microglia,0.31
Neutrophil,Macrophage,0.52
Neutrophil,Dendritic,0.44
Neutrophil,Neutrophil,NA
Neutrophil,NKTB,0.29
Neutrophil,Choroid,0.02
Neutrophil,Endothelial,0.03
Neutrophil,Mural,0.01
Neutrophil,Fibroblast,0.03
Neutrophil,Neopl-Bulk,-0.33
Neutrophil,Neopl-CC-I,-0.32
Neutrophil,Neopl-CC-II,-0.24
Neutrophil,Neopl-CC-III,-0.24
Neutrophil,Neopl-OPC,-0.32
Neutrophil,Neopl-COP,-0.17
Neutrophil,Neopl-NC,-0.11
Neutrophil,Neopl-ACR,-0.15
Neutrophil,Neopl-ECM,-0.28
Neutrophil,Neopl-RNA-low,-0.18
NKTB,Astrocyte TE,-0.09
NKTB,Astrocyte NT,-0.09
NKTB,Astrocyte R,-0.08
NKTB,OPC/COP/OLG,-0.16
NKTB,Neural,-0.07
NKTB,Ependymal,-0.03
NKTB,Microglia,0.21
NKTB,Macrophage,0.32
NKTB,Dendritic,0.47
NKTB,Neutrophil,0.29
NKTB,NKTB,NA
NKTB,Choroid,0.02
NKTB,Endothelial,0.07
NKTB,Mural,0.03
NKTB,Fibroblast,0.02
NKTB,Neopl-Bulk,-0.31
NKTB,Neopl-CC-I,-0.26
NKTB,Neopl-CC-II,-0.19
NKTB,Neopl-CC-III,-0.2
NKTB,Neopl-OPC,-0.31
NKTB,Neopl-COP,-0.16
NKTB,Neopl-NC,-0.1
NKTB,Neopl-ACR,-0.16
NKTB,Neopl-ECM,-0.26
NKTB,Neopl-RNA-low,-0.13
Choroid,Astrocyte TE,0.11
Choroid,Astrocyte NT,0.09
Choroid,Astrocyte R,0.11
Choroid,OPC/COP/OLG,-0.01
Choroid,Neural,0.04
Choroid,Ependymal,0.35
Choroid,Microglia,-0.03
Choroid,Macrophage,-0.01
Choroid,Dendritic,0.01
Choroid,Neutrophil,0.02
Choroid,NKTB,0.02
Choroid,Choroid,NA
Choroid,Endothelial,0.07
Choroid,Mural,0.1
Choroid,Fibroblast,0.16
Choroid,Neopl-Bulk,-0.17
Choroid,Neopl-CC-I,-0.16
Choroid,Neopl-CC-II,-0.13
Choroid,Neopl-CC-III,-0.12
Choroid,Neopl-OPC,-0.15
Choroid,Neopl-COP,-0.05
Choroid,Neopl-NC,0.03
Choroid,Neopl-ACR,0.02
Choroid,Neopl-ECM,-0.09
Choroid,Neopl-RNA-low,0.04
Endothelial,Astrocyte TE,-0.01
Endothelial,Astrocyte NT,-0.01
Endothelial,Astrocyte R,0.04
Endothelial,OPC/COP/OLG,-0.08
Endothelial,Neural,-0.06
Endothelial,Ependymal,0.02
Endothelial,Microglia,0.01
Endothelial,Macrophage,0.01
Endothelial,Dendritic,0.05
Endothelial,Neutrophil,0.03
Endothelial,NKTB,0.07
Endothelial,Choroid,0.07
Endothelial,Endothelial,NA
Endothelial,Mural,0.59
Endothelial,Fibroblast,0.22
Endothelial,Neopl-Bulk,-0.25
Endothelial,Neopl-CC-I,-0.25
Endothelial,Neopl-CC-II,-0.21
Endothelial,Neopl-CC-III,-0.21
Endothelial,Neopl-OPC,-0.23
Endothelial,Neopl-COP,-0.1
Endothelial,Neopl-NC,-0.1
Endothelial,Neopl-ACR,-0.01
Endothelial,Neopl-ECM,-0.15
Endothelial,Neopl-RNA-low,-0.17
Mural,Astrocyte TE,0.05
Mural,Astrocyte NT,0.05
Mural,Astrocyte R,0.11
Mural,OPC/COP/OLG,-0.06
Mural,Neural,-0.03
Mural,Ependymal,0.04
Mural,Microglia,-0.02
Mural,Macrophage,-0.02
Mural,Dendritic,0.03
Mural,Neutrophil,0.01
Mural,NKTB,0.03
Mural,Choroid,0.1
Mural,Endothelial,0.59
Mural,Mural,NA
Mural,Fibroblast,0.47
Mural,Neopl-Bulk,-0.21
Mural,Neopl-CC-I,-0.22
Mural,Neopl-CC-II,-0.19
Mural,Neopl-CC-III,-0.18
Mural,Neopl-OPC,-0.2
Mural,Neopl-COP,-0.08
Mural,Neopl-NC,-0.06
Mural,Neopl-ACR,0.1
Mural,Neopl-ECM,-0.1
Mural,Neopl-RNA-low,-0.1
Fibroblast,Astrocyte TE,0.06
Fibroblast,Astrocyte NT,0.06
Fibroblast,Astrocyte R,0.23
Fibroblast,OPC/COP/OLG,-0.07
Fibroblast,Neural,-0.01
Fibroblast,Ependymal,0.05
Fibroblast,Microglia,-0.02
Fibroblast,Macrophage,0.02
Fibroblast,Dendritic,0.03
Fibroblast,Neutrophil,0.03
Fibroblast,NKTB,0.02
Fibroblast,Choroid,0.16
Fibroblast,Endothelial,0.22
Fibroblast,Mural,0.47
Fibroblast,Fibroblast,NA
Fibroblast,Neopl-Bulk,-0.14
Fibroblast,Neopl-CC-I,-0.17
Fibroblast,Neopl-CC-II,-0.15
Fibroblast,Neopl-CC-III,-0.12
Fibroblast,Neopl-OPC,-0.19
Fibroblast,Neopl-COP,-0.06
Fibroblast,Neopl-NC,-0.03
Fibroblast,Neopl-ACR,0.25
Fibroblast,Neopl-ECM,0.01
Fibroblast,Neopl-RNA-low,-0.06
Neopl-Bulk,Astrocyte TE,-0.14
Neopl-Bulk,Astrocyte NT,-0.13
Neopl-Bulk,Astrocyte R,-0.05
Neopl-Bulk,OPC/COP/OLG,0.06
Neopl-Bulk,Neural,0.11
Neopl-Bulk,Ependymal,-0.08
Neopl-Bulk,Microglia,-0.69
Neopl-Bulk,Macrophage,-0.61
Neopl-Bulk,Dendritic,-0.43
Neopl-Bulk,Neutrophil,-0.33
Neopl-Bulk,NKTB,-0.31
Neopl-Bulk,Choroid,-0.17
Neopl-Bulk,Endothelial,-0.25
Neopl-Bulk,Mural,-0.21
Neopl-Bulk,Fibroblast,-0.14
Neopl-Bulk,Neopl-Bulk,NA
Neopl-Bulk,Neopl-CC-I,0.67
Neopl-Bulk,Neopl-CC-II,0.31
Neopl-Bulk,Neopl-CC-III,0.39
Neopl-Bulk,Neopl-OPC,0.72
Neopl-Bulk,Neopl-COP,0.26
Neopl-Bulk,Neopl-NC,0.23
Neopl-Bulk,Neopl-ACR,0.3
Neopl-Bulk,Neopl-ECM,0.62
Neopl-Bulk,Neopl-RNA-low,0.57
Neopl-CC-I,Astrocyte TE,-0.2
Neopl-CC-I,Astrocyte NT,-0.2
Neopl-CC-I,Astrocyte R,-0.16
Neopl-CC-I,OPC/COP/OLG,-0.04
Neopl-CC-I,Neural,0.08
Neopl-CC-I,Ependymal,-0.1
Neopl-CC-I,Microglia,-0.63
Neopl-CC-I,Macrophage,-0.51
Neopl-CC-I,Dendritic,-0.38
Neopl-CC-I,Neutrophil,-0.32
