Level_4,nCount_RNA,nFeature_RNA,percent.mt
Endothelial,6613,3196,1.4365643429608348
OPC/COP/OLG,15915,4552,2.1551994973295634
Microglia,21004,5103,2.6994858122262424
Microglia,9791,3450,0.24512307220917168
Microglia,13776,3866,1.9817073170731707
Microglia,8539,3293,2.0025764141000115
Endothelial,5516,2694,0.6526468455402465
Choroid,5359,1578,0.6531069229333831
Astrocyte TE,2831,1692,3.7442599788060758
Microglia,11589,3740,1.1131245146259385
Microglia,13704,4015,2.065090484530064
Endothelial,3885,2189,2.0334620334620337
OPC/COP/OLG,8883,4334,0.7655071484858719
Astrocyte NT,3225,1680,7.193798449612403
Astrocyte TE,1387,850,4.253785147801009
Astrocyte TE,8077,3041,0.49523337872972634
Choroid,18252,4829,0.2136752136752137
Endothelial,3419,1888,0.9066978648727698
Astrocyte NT,3981,2259,0.9545340366742026
Microglia,3976,1664,4.401408450704225
Microglia,15420,4143,1.3424124513618676
Neural,7337,3375,0.5315524056153742
Endothelial,5880,3110,1.3605442176870748
OPC/COP/OLG,30967,5782,0.9913779184292957
Microglia,15394,4099,1.6240093542938805
Neural,26042,6400,0.529913217110821
Microglia,3358,1717,2.1739130434782608
Choroid,1231,707,0.5686433793663688
Choroid,11567,3560,0.39768306388864877
Microglia,11673,3559,0.214169450869528
Astrocyte TE,5704,2939,2.261570827489481
Endothelial,1340,743,2.3880597014925375
Microglia,17000,4427,1.0764705882352943
Astrocyte NT,2032,1343,4.084645669291338
Neural,1988,1295,4.325955734406438
Microglia,6265,2760,1.2130885873902633
Astrocyte TE,2380,1525,2.773109243697479
Astrocyte TE,1302,860,2.227342549923195
Microglia,17424,4240,1.0560146923783287
Microglia,13534,3867,0.7832126496231712
Mural,9208,4039,0.5647263249348393
Astrocyte TE,5356,2584,2.371172516803585
Astrocyte TE,4095,2186,6.8620268620268625
Choroid,6442,1891,1.9869605712511642
Mural,8640,3583,1.1111111111111112
Endothelial,9041,3674,1.2166795708439333
Endothelial,9488,3719,0.42158516020236086
Mural,1817,1232,3.907539900935608
Endothelial,2986,1819,0.9377093101138647
OPC/COP/OLG,3523,2378,4.087425489639512
Choroid,2332,1180,1.8867924528301887
Microglia,9735,3381,0.6882383153569595
Ependymal,8052,3638,1.825633383010432
OPC/COP/OLG,10969,4828,1.1122253623849028
Microglia,12226,3763,1.3168656960575822
Choroid,1929,1187,1.0368066355624677
Choroid,3765,1161,1.248339973439575
Endothelial,8256,3418,1.1022286821705427
OPC/COP/OLG,13975,5764,0.4007155635062612
Astrocyte NT,1959,1214,4.543134252169474
Choroid,3239,1432,2.9638777400432232
Astrocyte TE,4112,2276,2.869649805447471
Microglia,9550,3401,0.30366492146596863
OPC/COP/OLG,4615,2907,0.8667388949079089
OPC/COP/OLG,12384,5480,0.476421188630491
Microglia,14766,4174,1.6524448056345657
Endothelial,17775,5443,1.2151898734177216
Microglia,9223,3162,0.6939173804618888
Microglia,3297,1403,3.427358204428268
Astrocyte TE,3476,1939,1.2370540851553509
Neural,7586,3612,0.8963880833113631
Astrocyte NT,9433,3853,0.4982508215838015
Microglia,12349,3838,0.46157583610008907
Astrocyte TE,2201,1445,2.3171285779191275
Astrocyte TE,1952,1307,1.9467213114754098
Astrocyte NT,2044,1288,2.886497064579256
Microglia,15454,4252,1.158276174453216
Neural,21694,6333,2.7334746934636307
Microglia,9369,3442,1.8678620984096488
Astrocyte NT,1967,1276,2.8469750889679712
Astrocyte TE,1991,1258,2.360622802611753
Mural,18049,5656,0.7812067150534656
Microglia,12539,3649,0.46255682271313503
Astrocyte TE,10016,3649,0.7388178913738019
Astrocyte NT,1660,1111,2.8313253012048194
Microglia,10608,3575,0.3770739064856712
Neural,6973,3355,1.9360390076007459
OPC/COP/OLG,13719,5398,1.8951818645673884
Astrocyte TE,1058,702,5.103969754253308
Microglia,9428,3402,0.7424692405600339
Astrocyte TE,1302,710,0.6144393241167435
Choroid,3650,1497,0.9315068493150684
Neural,10646,4363,0.7232763479241029
Microglia,7314,2962,0.806672135630298
Microglia,11791,3708,0.3986091086421847
Astrocyte TE,1388,899,1.5129682997118155
Microglia,10207,3429,0.20574115802880374
Astrocyte TE,8116,3177,0.9610645638245442
Astrocyte NT,2834,1660,1.4467184191954834
OPC/COP/OLG,21209,5019,2.772407940025461
Microglia,11976,3635,0.9519038076152305
OPC/COP/OLG,23909,5230,2.2543811953657618
Mural,13485,4414,0.9195402298850575
Microglia,17277,4650,0.7871736991375817
Microglia,12342,3855,0.46994004213255547
Neural,22254,6098,0.18873011593421407
Microglia,10356,3574,0.4634994206257242
Astrocyte NT,1450,618,1.5862068965517242
Astrocyte NT,1345,776,3.7918215613382897
Endothelial,8083,3642,1.4598540145985401
Microglia,9199,3166,0.804435264702685
Astrocyte TE,6201,2835,1.2901144976616674
Microglia,2651,943,2.980007544322897
Microglia,9320,3549,0.3218884120171674
Endothelial,8299,3561,0.891673695625979
OPC/COP/OLG,27425,5678,0.4484958979033728
Astrocyte TE,1486,937,2.6917900403768504
Choroid,1346,738,1.8573551263001487
Neural,5418,2922,0.47988187523071246
OPC/COP/OLG,15252,5753,0.44584316810910046
Microglia,16141,4219,1.127563347995787
Astrocyte TE,6657,3289,1.4420910319963949
OPC/COP/OLG,24852,5244,0.13278609367455335
OPC/COP/OLG,7748,3385,7.266391326794011
Microglia,12221,3782,0.5727845511823909
Astrocyte TE,3124,1851,3.713188220230474
Choroid,1712,734,3.8551401869158877
Microglia,16109,4104,2.8369234589359986
Astrocyte TE,1025,671,2.341463414634146
Microglia,12773,3942,1.3857355358960308
OPC/COP/OLG,15584,4625,1.48870636550308
Choroid,11529,3178,2.2898776997137653
OPC/COP/OLG,9472,4486,0.32728040540540543
Microglia,2106,868,2.8964862298195633
Astrocyte TE,2610,1693,3.295019157088123
Astrocyte NT,5937,2741,1.9875357924877886
Neural,26683,6475,0.7607840197878799
