Level_4,Hypoxia_score
Neopl-CC-III,-0.05629715326027368
Neopl-CC-III,-0.01428220830740784
Neopl-Bulk,0.02310882580077883
Neopl-Bulk,0.07041153948478851
Neopl-CC-III,0.0106901263034766
Neopl-Bulk,0.007847118532396224
Neopl-Bulk,0.027505025620529755
Neopl-Bulk,0.04285390011404261
Neopl-CC-III,0.0377844397142556
Neopl-CC-III,-0.07761720138844819
Neopl-Bulk,0.4897007668946051
Neopl-CC-II,-0.05623084448478388
Neopl-CC-II,-0.08601250846470956
Neopl-CC-II,-0.03963994693076095
Neopl-Bulk,-0.008966446857457344
Neopl-Bulk,0.0016281484461792006
Neopl-ACR,0.20961412642905602
Neopl-CC-II,-0.00869035637091975
Neopl-Bulk,0.08896089376810462
Neopl-Bulk,-0.03208304550843161
Neopl-Bulk,0.006292720753053982
Neopl-Bulk,0.03360813742257779
Neopl-Bulk,0.1980939749988847
Neopl-RNA-low,0.03519530110177188
Neopl-Bulk,-0.010366499251754646
Neopl-CC-III,-0.06546790161105337
Neopl-CC-III,-1.1067018137023155e-4
Neopl-CC-II,0.10964440143718202
Neopl-Bulk,0.0592571619650516
Neopl-Bulk,0.09677202812710489
Neopl-Bulk,0.09087974696481083
Neopl-Bulk,-0.001659366453021116
Neopl-Bulk,-0.058483688584304694
Neopl-CC-III,-0.03478034530357099
Neopl-Bulk,0.008298287370519408
Neopl-CC-II,-0.037442629644797165
Neopl-Bulk,-0.03313851330093198
Neopl-Bulk,0.026515685736799632
Neopl-CC-I,-0.0149700169720553
Neopl-Bulk,0.06978276724418181
Neopl-Bulk,-0.028320660392661068
Neopl-CC-III,-0.02696075023630823
Neopl-CC-III,-0.018419812168049887
Neopl-CC-III,-0.023282858846024823
Neopl-Bulk,0.21823063823888617
Neopl-ACR,0.10313637792405525
Neopl-Bulk,-0.0567209149270248
Neopl-CC-II,0.004232986761455393
Neopl-Bulk,0.17696047571453172
Neopl-Bulk,-0.026951037327386962
Neopl-Bulk,-0.0046406121584762206
Neopl-Bulk,0.07590667494466519
Neopl-Bulk,0.03549111395554211
Neopl-CC-II,-9.760608746055555e-4
Neopl-CC-I,-0.0632957215665153
Neopl-Bulk,-0.03063847476566811
Neopl-RNA-low,-0.03588971390997625
Neopl-Bulk,0.017928317807286487
Neopl-Bulk,0.14683628640524526
Neopl-CC-II,-0.13068339319141045
Neopl-Bulk,-0.07815297040312263
Neopl-CC-III,-0.032154153769658744
Neopl-Bulk,0.039441783859650914
Neopl-Bulk,-0.04481983362701092
Neopl-Bulk,0.05759485688509958
Neopl-Bulk,0.009608630873500612
Neopl-Bulk,-0.024734945286673915
Neopl-OPC,0.006422400105895454
Neopl-CC-II,-0.050573100601905285
Neopl-CC-II,-0.046169005741697966
Neopl-Bulk,-0.02029484032110912
Neopl-CC-III,0.04555290950302121
Neopl-Bulk,0.06006741661229642
Neopl-Bulk,0.03640573868436864
Neopl-Bulk,-0.05398158169171957
Neopl-Bulk,0.2854779556757247
Neopl-Bulk,-0.04917990072128364
Neopl-CC-I,-0.016852904538786684
Neopl-Bulk,-0.026776831085740638
Neopl-Bulk,-0.03983040528412973
Neopl-Bulk,-0.008856144683928147
Neopl-Bulk,0.1136369642153503
Neopl-CC-III,-0.040521653227371335
Neopl-CC-III,0.03594221075807846
Neopl-Bulk,-0.006970157735970872
Neopl-CC-I,-0.09661655959277049
Neopl-RNA-low,0.04266313624132234
Neopl-Bulk,0.051208490354007374
Neopl-Bulk,-0.013038101968440907
Neopl-Bulk,0.010034526083676887
Neopl-CC-II,-0.07107452202098435
Neopl-CC-III,-0.026876774782840507
Neopl-Bulk,0.03887230526852231
Neopl-CC-III,0.12986463535633036
Neopl-CC-III,-0.02769810786844734
Neopl-Bulk,0.019879223008233637
Neopl-Bulk,0.10813743060284492
Neopl-CC-I,0.00614209358929485
Neopl-Bulk,0.07278092019370208
Neopl-CC-II,0.013157795409897921
Neopl-Bulk,-0.015051977502102132
Neopl-Bulk,0.013492953879069514
Neopl-COP,-0.027663396176871247
Neopl-Bulk,0.07012846941794848
Neopl-Bulk,0.17371862597963283
Neopl-Bulk,0.019178098391293752
Neopl-Bulk,0.0028267950779762296
Neopl-Bulk,0.05171369886246724
Neopl-Bulk,-0.0015138220523787105
Neopl-Bulk,-0.02123081000795074
Neopl-Bulk,-0.019891270590287502
Neopl-Bulk,-0.019365348732527377
Neopl-RNA-low,-0.07373887759281955
Neopl-Bulk,0.0018929091158046973
Neopl-CC-III,0.001721847335871718
Neopl-Bulk,-0.018242010662091745
Neopl-CC-II,0.0069923442161029525
Neopl-CC-II,-0.06080927007264747
Neopl-COP,0.08505569961242282
Neopl-Bulk,0.010155465272772446
Neopl-CC-III,-0.045400264945553825
Neopl-CC-III,-0.0936036107854056
Neopl-Bulk,0.08564278638559941
Neopl-Bulk,0.06550688267709148
Neopl-CC-III,-0.07099938139232703
Neopl-Bulk,0.07525658074574693
Neopl-CC-II,0.02184288806183904
Neopl-CC-III,-0.015331207619173282
Neopl-Bulk,0.16506038669957185
Neopl-Bulk,-0.0067890456342926675
Neopl-CC-II,-0.04332263109662793
Neopl-Bulk,-0.058763741609502096
Neopl-Bulk,-0.054804906186062874
Neopl-RNA-low,-0.03802857802093107
Neopl-Bulk,-0.04104860248441544
Neopl-CC-III,-0.028021224196303485
Neopl-RNA-low,-0.0034918654899583346
Neopl-CC-II,-0.08605900647584258
Neopl-Bulk,-0.0371742595729006
Neopl-COP,0.02773290595279604
Neopl-Bulk,-0.051010255032099605
Neopl-CC-II,0.16575280430016992
Neopl-Bulk,0.12428888449616221
Neopl-CC-III,-0.039057480794818245
Neopl-Bulk,0.13117406981950325
Neopl-Bulk,0.12025931488599928
Neopl-CC-III,-0.03877028758922341
Neopl-OPC,-0.06057288128554095
Neopl-CC-II,-0.06850636722515602
Neopl-OPC,0.03412650609626883
Neopl-Bulk,0.015477922561013602
Neopl-Bulk,0.02307520911891131
Neopl-Bulk,-0.034024419335869804
Neopl-CC-II,-0.036239087623762156
Neopl-Bulk,-0.04216782738290953
Neopl-CC-III,0.01524503066301447
Neopl-Bulk,-0.02606048088917584
