target,program,source,mean_r,min_r,max_r,n
Neopl-ECM (ours),Neftel NPC2,Neftel 2019,0.07235910019057272,-0.26718198263759896,0.28312477326922064,18
Neopl-ECM (ours),Neftel OPC,Neftel 2019,0.24335880340260552,0.04081919343705502,0.6491692583583453,18
Neopl-ECM (ours),Nomura AC-like,Nomura 2025,0.0586672879485999,-0.12498828244178074,0.41457731346038235,18
Neopl-ECM (ours),Nomura Cell cycle,Nomura 2025,0.0895910788472937,-0.06096179695167529,0.33856628439619374,18
Neopl-ECM (ours),Nomura Cilia-like,Nomura 2025,-0.02409319812313807,-0.20340004268717443,0.18171180919868476,18
Neopl-ECM (ours),Nomura GPC-like,Nomura 2025,0.1037987620541845,-0.21896742039114986,0.592121586651212,18
Neopl-ECM (ours),Nomura Hypoxia,Nomura 2025,-0.13054538434421203,-0.6094781180055088,0.26657373563850467,18
Neopl-ECM (ours),Nomura MES-like,Nomura 2025,-0.037932004810665144,-0.32589509654905285,0.2022540159357527,18
Neopl-ECM (ours),Nomura NEU-like,Nomura 2025,0.049523032503666,-0.3410163075527747,0.26730968263126553,18
Neopl-ECM (ours),Nomura NPC-like,Nomura 2025,0.0519658962151901,-0.2559329826841292,0.33544036805322736,18
Neopl-ECM (ours),Nomura OPC-like,Nomura 2025,0.17984286200246324,-0.05936279928112184,0.4441652582934079,18
Neopl-ECM (ours),Nomura Stress,Nomura 2025,-0.034836131826803264,-0.44577411804228356,0.14467215536600125,18
Neopl-ECM (ours),Richards Developmental,Richards 2021,0.17725854657809612,-0.12294122743465732,0.5727332625213611,18
Neopl-ECM (ours),Richards Injury-Response,Richards 2021,0.01908327767572031,-0.22680092682668374,0.3289706680903827,18
Neopl-NC (ours),Neftel AC,Neftel 2019,-0.19540640860313827,-0.7769628512301671,0.12370586858754383,18
Neopl-NC (ours),Neftel MES1,Neftel 2019,-0.3529620716737302,-0.7956423903108781,0.13700965437590604,18
Neopl-NC (ours),Neftel MES2,Neftel 2019,-0.0499910528146111,-0.4481973497156465,0.3171542187140748,18
Neopl-NC (ours),Neftel NPC1,Neftel 2019,0.12604513898826045,-0.49986827591078603,0.5073001890091232,18
Neopl-NC (ours),Neftel NPC2,Neftel 2019,0.5477442102933561,0.15498734348525392,0.8760270263550812,18
Neopl-NC (ours),Neftel OPC,Neftel 2019,-0.06489206033399324,-0.6844451368256552,0.2594386354068704,18
Neopl-NC (ours),Nomura AC-like,Nomura 2025,-0.0935758420822655,-0.5857310261123978,0.1584469506959504,18
Neopl-NC (ours),Nomura Cell cycle,Nomura 2025,-0.11625463611237528,-0.6482933687266037,0.28942074731905226,18
Neopl-NC (ours),Nomura Cilia-like,Nomura 2025,-0.010293325319659308,-0.3753402648067374,0.33515308977342273,18
Neopl-NC (ours),Nomura GPC-like,Nomura 2025,0.0981354209977633,-0.2828891618509828,0.552058971213981,18
Neopl-NC (ours),Nomura Hypoxia,Nomura 2025,0.057743244593862,-0.20155129295536853,0.36337989196038994,18
Neopl-NC (ours),Nomura MES-like,Nomura 2025,-0.11654383610122605,-0.5426278778680708,0.21173067718559233,18
Neopl-NC (ours),Nomura NEU-like,Nomura 2025,0.5244505530727078,0.00629886327666499,0.8718019894642614,18
Neopl-NC (ours),Nomura NPC-like,Nomura 2025,0.32163009330611286,-0.03163481776190895,0.7969524749422692,18
Neopl-NC (ours),Nomura OPC-like,Nomura 2025,0.15595505572457571,-0.23421235221632095,0.5899127255220419,18
Neopl-NC (ours),Nomura Stress,Nomura 2025,0.0526487825707037,-0.2754669410094924,0.3106517274620075,18
Neopl-NC (ours),Richards Developmental,Richards 2021,0.15345699297054932,-0.3397220938886006,0.7092988838305837,18
Neopl-NC (ours),Richards Injury-Response,Richards 2021,-0.19504745967492967,-0.6212539761600337,0.5307542773006874,18
Neopl-OPC (ours),Neftel AC,Neftel 2019,0.12396257385030676,-0.2177116226373283,0.48023448362962007,18
Neopl-OPC (ours),Neftel MES1,Neftel 2019,-0.21034146854507177,-0.5097383580609158,0.12236830247679105,18
Neopl-OPC (ours),Neftel MES2,Neftel 2019,-0.19846195195878544,-0.5646027543156027,0.12479506689787695,18
Neopl-OPC (ours),Neftel NPC1,Neftel 2019,0.30043959657468966,0.07393876455842693,0.5812461353226849,18
Neopl-OPC (ours),Neftel NPC2,Neftel 2019,0.13069669284881308,-0.23701334877882788,0.4064352185375811,18
Neopl-OPC (ours),Neftel OPC,Neftel 2019,0.2368332694487015,-0.13560684183347513,0.5900013744215176,18
Neopl-OPC (ours),Nomura AC-like,Nomura 2025,0.03820391582578636,-0.23373126498886856,0.3504886335186659,18
Neopl-OPC (ours),Nomura Cell cycle,Nomura 2025,0.10253234930231528,-0.1053172526636223,0.3287581182420474,18
Neopl-OPC (ours),Nomura Cilia-like,Nomura 2025,0.009544214004826138,-0.17121798524834111,0.28300265229839966,18
Neopl-OPC (ours),Nomura GPC-like,Nomura 2025,0.16958284905349646,-0.16965324177874505,0.453183205695262,18
Neopl-OPC (ours),Nomura Hypoxia,Nomura 2025,-0.12228893607409513,-0.5304447291129679,0.32194880051339547,18
Neopl-OPC (ours),Nomura MES-like,Nomura 2025,-0.11750606104341586,-0.4637731953200833,0.20843919610616293,18
Neopl-OPC (ours),Nomura NEU-like,Nomura 2025,0.07595893421918144,-0.3040481591753341,0.4137780212701918,18
Neopl-OPC (ours),Nomura NPC-like,Nomura 2025,0.15528957398259907,-0.1165114424242881,0.40367435189068523,18
Neopl-OPC (ours),Nomura OPC-like,Nomura 2025,0.3538870287016042,0.17039430075365172,0.5638576659101247,18
Neopl-OPC (ours),Nomura Stress,Nomura 2025,-0.09484830512049741,-0.4126608315405123,0.14468168861054415,18
Neopl-OPC (ours),Richards Developmental,Richards 2021,0.232549955218816,-0.2084533339805917,0.5206401344159677,18
Neopl-OPC (ours),Richards Injury-Response,Richards 2021,-0.13745937809826783,-0.3731414770206987,0.1066515543608741,18
