niche_name,cell_type,mw,z
Peritumoral parenchyma,Neopl-OPC,0.03702471184009677,-0.5023295105087799
Peritumoral parenchyma,Neuron,0.5802651471372761,1.4098302242844585
Peritumoral parenchyma,OPC-COP-OLG,0.11123659006486106,-0.16328086201712552
Peritumoral parenchyma,Vascular,0.027460238755528197,-0.43382567646316245
Parenchyma,Astrocyte R,0.018200471040649455,-0.8244272067713251
Parenchyma,Astrocyte TE-NT,0.07579443795180431,0.1610591901865857
Parenchyma,Choroid,0.011102637653797166,-0.2673025353011077
Parenchyma,Ependymal,0.006780219315291538,-0.4771021458980167
Parenchyma,Immune-other,0.0019365256432878788,-0.937479097413471
Parenchyma,Myeloid,0.007576851370585814,-0.9138559454984306
Parenchyma,Neopl-ACR,0.0036139622328312014,-1.0762249057367206
Parenchyma,Neopl-Bulk,0.011144917625119129,-0.5834549228015173
Parenchyma,Neopl-COP,0.01153773653746439,-0.9313655394601944
Parenchyma,Neopl-ECM,0.010607626390503463,-0.6589426934755476
Parenchyma,Neopl-OPC,0.033278353902087776,-0.5214621816025672
Parenchyma,Neuron,0.7451999416460143,2.0889137446499313
Parenchyma,OPC-COP-OLG,0.04776547578314274,-0.4741984281608369
Parenchyma,Vascular,0.015460842907421031,-1.0619964923632264
White matter,Astrocyte R,0.06127413788454679,-0.16054148736811225
White matter,Astrocyte TE-NT,0.10697442400786164,0.5650314178427994
White matter,Choroid,0.010441278225331464,-0.2704662550103834
White matter,Ependymal,0.010246050614938811,-0.32012220109503614
White matter,Immune-other,0.002869387899670205,-0.5280713983606324
White matter,Myeloid,0.02080350380580504,-0.3215742765459312
White matter,Neopl-ACR,0.011119372035734485,-0.418664670707589
White matter,Neopl-Bulk,0.01465781644048315,-0.5668886280496782
White matter,Neopl-COP,0.019973285114917947,-0.12507884421780327
White matter,Neopl-ECM,0.012643434914085606,-0.5506737772689989
White matter,Neopl-OPC,0.016303673900046545,-0.608151967996534
White matter,Neuron,0.34543713421812894,0.44297641900618795
White matter,OPC-COP-OLG,0.333679356651313,0.9263701449962172
White matter,Vascular,0.03357714428713655,-0.11360442639246357
Oligodendrocyte,Astrocyte R,0.06286877502137472,-0.13596366754592817
Oligodendrocyte,Astrocyte TE-NT,0.04524290130434532,-0.23477075969232977
Oligodendrocyte,Choroid,0.012909886037578608,-0.2586572705853837
Oligodendrocyte,Ependymal,0.01710923824219989,-0.009263788855066098
Oligodendrocyte,Immune-other,0.003797335640098522,-0.12082054578209749
Oligodendrocyte,Myeloid,0.02708165945598281,-0.04044218173639352
Oligodendrocyte,Neopl-ACR,0.00689535475204286,-0.7887371745110393
Oligodendrocyte,Neopl-Bulk,0.011473874208895014,-0.5819036137505549
Oligodendrocyte,Neopl-COP,0.01627582489589012,-0.4784895268091297
Oligodendrocyte,Neopl-ECM,0.0035592010815210786,-1.0337939431517993
Oligodendrocyte,Neopl-OPC,0.002758989906722326,-0.677324745451771
Oligodendrocyte,Neuron,0.04144758080813001,-0.808635144817315
Oligodendrocyte,OPC-COP-OLG,0.7248696920953435,2.842642584382596
Oligodendrocyte,Vascular,0.02370968654987529,-0.630167848096113
Homeostatic astrocyte (TE-NT),Astrocyte R,0.061107126593449725,-0.16311559863521796
Homeostatic astrocyte (TE-NT),Astrocyte TE-NT,0.2772661835247371,2.771355093544507
Homeostatic astrocyte (TE-NT),Choroid,0.012155147054801838,-0.262267686483905
Homeostatic astrocyte (TE-NT),Ependymal,0.03273161627432829,0.6983298096632456
Homeostatic astrocyte (TE-NT),Immune-other,0.004016430281030904,-0.024665907511287354
Homeostatic astrocyte (TE-NT),Myeloid,0.023943864075733245,-0.18095080202016622
Homeostatic astrocyte (TE-NT),Neopl-ACR,0.01878247616596967,0.25271140138656384
Homeostatic astrocyte (TE-NT),Neopl-Bulk,0.017070821509916637,-0.5555092643620354
Homeostatic astrocyte (TE-NT),Neopl-COP,0.02681142760866694,0.5285245654783806
Homeostatic astrocyte (TE-NT),Neopl-ECM,0.013075761879846654,-0.5276816483494022
Homeostatic astrocyte (TE-NT),Neopl-OPC,0.03349605650060841,-0.5203503732055372
Homeostatic astrocyte (TE-NT),Neuron,0.33979532992540074,0.4197475040175078
Homeostatic astrocyte (TE-NT),OPC-COP-OLG,0.0825026296803615,-0.3040361194207547
Homeostatic astrocyte (TE-NT),Vascular,0.05724512892514844,1.1254193885536343
Choroid/ventricle,Astrocyte R,0.009005964377864235,-0.9661402792269993
Choroid/ventricle,Astrocyte TE-NT,0.013358092031413667,-0.6478747747878526
Choroid/ventricle,Choroid,0.7306107675602671,3.1745808848083663
Choroid/ventricle,Ependymal,0.08012889254243524,2.8451226478306086
Choroid/ventricle,Immune-other,0.0033753246732531666,-0.30602960288474707
Choroid/ventricle,Myeloid,0.007024767640861722,-0.9385779282105352
Choroid/ventricle,Neopl-ACR,0.009732538986837198,-0.5401671988208856
