gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,comparison,direction
Lrrc8a,0.22100967068935293,-0.3927614386788425,0.616,0.581,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Msantd4,0.8429815823205086,-0.39305968349538034,0.135,0.126,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Htatip2,0.7266070247196397,-0.39321886933437655,0.115,0.119,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Sptlc1,0.6068222204000455,-0.39359850274201935,0.296,0.293,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Rab30,0.25985471964887535,-0.3947463813595654,0.246,0.202,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Mras,5.719658487299169e-4,-0.3947595713257308,0.646,0.665,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Stat5a,0.3856630165519299,-0.3948432588232973,0.102,0.116,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Clcc1,0.5249197130618137,-0.39495032140673203,0.214,0.222,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Hdhd2,0.7501301415702342,-0.39500581469219376,0.357,0.313,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ifrd2,0.66714685901834,-0.3951185151608523,0.104,0.112,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Sh3bp1,0.8178965150178772,-0.3953023904161852,0.108,0.102,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ogdh,0.2011091381967905,-0.395553420433203,0.598,0.567,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Clcn2,0.6721793657391384,-0.3961276298401377,0.167,0.17,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Dag1,3.7717365470354045e-5,-0.39709350782937136,0.801,0.757,0.7193833116160627,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Nudt18,0.7454964795349309,-0.3971685425338841,0.228,0.21,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Cd74,0.6272688473001473,-0.39724051229144486,0.411,0.383,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Pitpnm1,0.39872125292901656,-0.39731344645258804,0.196,0.21,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Nme7,0.9198148706453848,-0.3980192592369072,0.183,0.18,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Nrarp,0.3635439458077543,-0.3980650324340529,0.51,0.478,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Nqo2,0.30666405384036577,-0.39831365189919854,0.181,0.15,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Mgat2,0.6615749508155739,-0.39833627542836547,0.278,0.273,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Tnfrsf10b,0.8743938410872055,-0.3984572489187501,0.113,0.108,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Cx3cl1,0.8652220637601903,-0.39851984885092184,0.348,0.316,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Sun2,0.6191414782639828,-0.39858071416872565,0.293,0.286,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Slc33a1,0.1577226138095682,-0.3991960594308134,0.37,0.377,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Vegfb,0.21523014157483886,-0.40026977263126895,0.476,0.464,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Alg3,0.36240310683727195,-0.40102325132985395,0.124,0.139,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
H2-Ab1,0.1641283425515577,-0.4020843944425925,0.395,0.321,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Slc12a9,0.5591754248446468,-0.40230039920531935,0.343,0.331,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ppif,0.31934418075027016,-0.4028367393487686,0.084,0.1,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Shisa5,0.12267000532026136,-0.4040631759921003,0.657,0.602,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ankrd52,0.4650427957664442,-0.40499511186778214,0.282,0.292,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ndufa12,0.4998575287995175,-0.40511724695232726,0.562,0.506,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ogdhl,0.825104495528374,-0.4057000329381575,0.237,0.23,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Tom1l1,0.5236936775669978,-0.4058107887396407,0.363,0.355,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Sdha,0.0035897425514058575,-0.40638144126707365,0.747,0.705,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Derl1,0.34547730245467456,-0.4066595597208943,0.535,0.482,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Rnf141,0.7283322217777709,-0.40674819405866647,0.354,0.316,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Dennd4c,0.7135020694477713,-0.4070527709497249,0.271,0.269,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Adgrl2,0.37665868584012574,-0.4084173276036074,0.149,0.125,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
mt-Nd6,0.10434669850455638,-0.40875978055961304,0.479,0.487,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Kif18a,0.30744448957395376,-0.4093748431368267,0.124,0.101,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ttyh3,4.1083245654648214e-5,-0.40958234472845767,0.815,0.808,0.7835807443711054,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Cat,0.35951328082505335,-0.4109712018124404,0.616,0.567,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Vcl,0.34873485288882516,-0.41279058521674844,0.54,0.494,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ampd3,0.28376136494593523,-0.4128458135927545,0.501,0.495,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Bcap31,0.03962474160456841,-0.41293773017246166,0.501,0.505,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Plcb3,0.7731247406425208,-0.41360728673980746,0.325,0.297,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Arl6ip5,0.024127244780128954,-0.41416944906142505,0.603,0.589,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
