gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,comparison,direction
Pde7b,1.242700036150684e-4,0.7450741942812593,0.122,0.058,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Zfp952,5.698758079683842e-4,0.7445769693241031,0.111,0.055,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Srek1,1.2675989953157115e-11,0.7444688335047915,0.521,0.309,2.4176915637656563e-7,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Chmp1b,2.6564813571739314e-10,0.7444611033121886,0.418,0.234,5.066706892537839e-6,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Zc3h7b,2.252373773285871e-22,0.7443821163524879,0.779,0.511,4.295952497788142e-18,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Carnmt1,9.328414745262313e-9,0.7441286359474412,0.332,0.185,1.779208544363881e-4,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Rbmx,6.563890397856832e-10,0.7440925696057543,0.415,0.233,1.2519308155832335e-5,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Phf14,2.9732090951994984e-15,0.7439640409368313,0.526,0.281,5.670801707274003e-11,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Sfpq,2.5423414419464103e-12,0.7437968046490909,0.542,0.331,4.849007832224388e-8,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Asap1,8.713982909702426e-14,0.7436992024544574,0.422,0.208,1.6620179603675437e-9,Neopl-ACR_vs_Astrocyte-R,Shared/NS
B4galt2,6.436479713396673e-11,0.7436793142875429,0.28,0.121,1.2276297757361475e-6,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Slc4a7,1.771275068431808e-7,0.7435206573309112,0.255,0.132,0.0033783529380199875,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ergic2,2.1743635317688146e-8,0.7434754538692114,0.282,0.144,4.14716356414266e-4,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Mettl8,2.9813455132578463e-5,0.7431521801458736,0.126,0.056,0.568632029743669,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Nufip1,1.3811654246105212e-6,0.743130971197705,0.192,0.091,0.02634296814359647,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Gatd1,1.4921579338783163e-6,0.742501664639756,0.201,0.097,0.028459928272861125,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Kcnq3,1.918494211700069e-6,0.7421286385637575,0.163,0.073,0.036591440099755415,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Slc7a6os,1.078403352158452e-6,0.7421193481803836,0.28,0.157,0.020568387135718152,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Col5a2,0.9535426254069062,0.7419539105660318,0.138,0.142,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Usp22,3.8001796389057515e-14,0.7418831602572692,0.659,0.438,7.24808262528494e-10,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Brd1,6.6423139713381e-12,0.741810385973171,0.442,0.238,1.2668885437533158e-7,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Dtymk,2.9794935420897605e-12,0.7417528554122745,0.499,0.3,5.6827880328278e-8,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Wac,6.084800302422895e-13,0.7415589319125209,0.542,0.317,1.1605539616811187e-8,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ciao2b,1.0452812598050914e-7,0.741546466823108,0.221,0.104,0.0019936649468262507,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Clip2,5.442229387214889e-17,0.7411924571977598,0.695,0.439,1.0379964110234957e-12,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Usp34,2.0895168745656645e-13,0.7411129890295186,0.415,0.202,3.985335534859092e-9,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Cbx4,1.87202648721019e-9,0.7410896093809198,0.361,0.195,3.5705161190559955e-5,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ptk2,2.6883757346334364e-14,0.7410656033340958,0.562,0.328,5.127539038666353e-10,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Nbdy,5.329451274009948e-10,0.740930769661919,0.262,0.115,1.0164862414919175e-5,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Eps15l1,0.0036445144950501317,0.7407953954556392,0.142,0.087,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Mtmr12,1.4959125917728969e-5,0.7402444738480947,0.176,0.088,0.28531540862884464,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Gkap1,2.9303155572045038e-9,0.7400469712141663,0.368,0.208,5.58899086225615e-5,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Fam102a,2.3952791840591305e-9,0.7400286499534988,0.497,0.321,4.568515987755979e-5,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Fance,7.626597937482234e-8,0.7399381756992038,0.284,0.147,0.0014546210246159865,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Zfp280d,6.370827179823064e-8,0.7396615256543723,0.37,0.222,0.001215107868007653,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Sprtn,0.00988565012186727,0.7395831997543043,0.111,0.067,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Vps9d1,1.834957854304338e-6,0.7393679859338733,0.214,0.109,0.034998151155146644,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Cfdp1,1.7268345256129808e-20,0.7391771096392004,0.655,0.36,3.2935914907016383e-16,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Rrp9,0.012789625622206247,0.7391550464420695,0.122,0.077,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Itgbl1,0.2720864935667037,0.7387168163008571,0.104,0.086,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Elf1,5.413684381534e-6,0.7385910487383169,0.26,0.15,0.10325520220899799,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Grb2,2.8024129833087283e-13,0.7385475719658636,0.454,0.241,5.345042283064738e-9,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Serp1,3.069571751037891e-6,0.7385085114949266,0.19,0.093,0.0585459420075457,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Exoc5,3.5370723113674036e-13,0.7380377614745457,0.517,0.292,6.746258019471049e-9,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Abhd13,2.5904703459313164e-6,0.7378298832730199,0.262,0.15,0.049408040907948,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Mtx1,1.465050005818134e-5,0.7372269694762714,0.151,0.07,0.2794289876096927,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Phf8,2.305728399229944e-6,0.7372218657543022,0.246,0.135,0.04397715775851272,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Clk4,1.782134663493441e-15,0.737213030599061,0.578,0.323,3.39906544368104e-11,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Tspyl2,1.9734480233012024e-13,0.7368024097930167,0.463,0.241,3.763957414842383e-9,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Zfp691,0.0016017817815991492,0.7367993653058864,0.135,0.077,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ncor1,1.7754370854455658e-15,0.7367838894394769,0.646,0.393,3.3862911530703274e-11,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Fsd1,3.695022020207065e-4,0.736769528567252,0.131,0.067,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Reep4,7.026227862508829e-4,0.7367348906892999,0.113,0.058,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Dnajc7,2.3309766716675676e-15,0.7366555020778867,0.585,0.341,4.445871805871552e-11,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Zfp638,9.10329121565761e-10,0.7363046703937808,0.402,0.23,1.736270733562376e-5,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Rbmx2,6.855843421065821e-4,0.7361367058336956,0.104,0.05,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Dnajc21,3.7994222254131436e-5,0.735822070663195,0.172,0.088,0.7246638010530488,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Azi2,7.869656557169102e-11,0.7357435608113685,0.282,0.125,1.5009795951488628e-6,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Slc25a16,4.51844643021351e-5,0.7354877231289321,0.293,0.191,0.8618032876346228,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Sh2d5,8.06675948531606e-12,0.7354576154575291,0.293,0.126,1.5385730366343322e-7,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ercc6,6.766520080207913e-5,0.7351277611289373,0.181,0.098,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Cep192,0.028441429785321066,0.7349683399241176,0.131,0.091,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Socs5,2.67817390835856e-8,0.7345879868063313,0.352,0.202,5.108081095412282e-4,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Serp2,0.0023923071479335224,0.7341570581770931,0.102,0.053,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Amz2,3.582592304384492e-9,0.733433820159943,0.321,0.167,6.833078302152542e-5,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Taldo1,3.720034770542877e-12,0.7329719477421666,0.628,0.407,7.09522231785643e-8,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Prickle2,5.627200555679202e-6,0.7329344214304314,0.192,0.097,0.10732759619846943,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Acbd6,8.529028915005462e-11,0.7328355420482334,0.372,0.188,1.626741684958992e-6,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Tars,7.829335207271215e-9,0.7327316449182384,0.436,0.278,1.493289104082839e-4,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Gigyf2,0.003969254037441223,0.7324065760537946,0.104,0.058,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Elk4,3.363712939564809e-11,0.7320741254964198,0.406,0.22,6.41560968963196e-7,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Rtn1,3.0220449027057152e-15,0.7318972774752104,0.767,0.613,5.7639462429306105e-11,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Hsf2,1.1923021182059676e-11,0.7318231310275616,0.357,0.173,2.274077830054242e-7,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Sbf1,3.559356002234249e-5,0.7314987521934246,0.131,0.059,0.6788759703061382,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Slx4,1.0201865276886911e-7,0.731391013453575,0.176,0.072,0.0019458017642606405,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Depdc5,7.42324738529011e-7,0.7310797867553558,0.235,0.121,0.014158359737963826,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Fxr2,8.097022534615245e-13,0.7309952817591966,0.438,0.23,1.5443451080271658e-8,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Gucy1a2,1.4059706172390636e-8,0.7306347586947368,0.226,0.1,2.681607758260066e-4,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Prr14l,4.90829233636661e-12,0.7305611547069639,0.336,0.156,9.361585973152035e-8,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Eri2,0.017985316995104493,0.7304376658575227,0.115,0.074,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ccdc71,1.1147253594301816e-6,0.7302174803112265,0.239,0.123,0.021261156780411853,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Rpap1,1.667673310548517e-5,0.7301308693050634,0.19,0.1,0.31807533052091863,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Thap11,5.975558776603703e-6,0.7300785819132776,0.275,0.157,0.11397183254616243,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Htatsf1,1.373794401661621e-8,0.7296325532040975,0.3,0.157,2.62023806228921e-4,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Syncrip,4.798924569685201e-16,0.7295773214102901,0.698,0.459,9.152988831760584e-12,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Map3k2,4.936848003145157e-8,0.7294929997806237,0.314,0.173,9.416050196398758e-4,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Commd1,4.32225360975642e-13,0.7293329617172124,0.488,0.275,8.24383430988842e-9,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Arhgap23,1.2734456228687035e-4,0.7291993170429449,0.217,0.132,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Gstcd,5.150407824403045e-10,0.7289436032152272,0.21,0.079,9.823372843483927e-6,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ripk2,1.3295519645999635e-5,0.7281854623503312,0.194,0.102,0.25358544620815104,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Fdps,9.081446870079237e-9,0.7280360131884177,0.501,0.324,1.7321043615302128e-4,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Mtmr6,7.151254819890628e-17,0.7279180377641645,0.666,0.412,1.3639588317977395e-12,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Hip1,1.7820387642684922e-14,0.7278711919099626,0.677,0.468,3.3988825350892954e-10,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Rnaseh2b,9.94619667181654e-7,0.7277507716749603,0.237,0.122,0.018970380912155686,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Atf1,4.711607451057821e-16,0.7274560292729204,0.497,0.257,8.986448891402582e-12,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Osbpl10,1.0327082205101077e-7,0.7273398634247421,0.142,0.05,0.0019696843889789287,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ikbkg,5.266476419379016e-5,0.7271734730018011,0.235,0.137,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Terf1,2.569071257345905e-4,0.7270345212707583,0.169,0.095,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Yy1,9.625210554638705e-17,0.7269787830049995,0.596,0.337,1.8358164090862402e-12,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Rbm27,6.055899607696115e-8,0.7269321596525007,0.325,0.18,0.0011550417321758801,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ilf3,2.7189481350718677e-14,0.7267750358208522,0.528,0.297,5.185849778022574e-10,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Hps4,3.888953574898896e-4,0.7266169651134731,0.131,0.067,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ska2,2.75226088360614e-8,0.7265916205965652,0.257,0.125,5.249387183301991e-4,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Rab11fip2,2.3990850263509323e-7,0.726566170746186,0.298,0.163,0.0045757748707591335,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Lrrc1,5.10977469651149e-8,0.7264192368456213,0.201,0.086,9.745873278656365e-4,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Snx29,2.4605335581194236e-9,0.726199235177599,0.357,0.195,4.6929756554011764e-5,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Nub1,2.2114687414906004e-10,0.7260445906100385,0.391,0.212,4.217934330645022e-6,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Polr2i,7.328724581374374e-11,0.7260094377547861,0.411,0.219,1.3978076394055344e-6,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Nrbf2,8.448573256955157e-4,0.7255142194761324,0.165,0.097,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Zfp606,4.867750216979508e-7,0.725401919451413,0.235,0.119,0.009284259988845016,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Pip5k1c,4.708488266615345e-16,0.7254019035676863,0.51,0.248,8.980499670915448e-12,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Pcf11,4.0207473011615234e-12,0.725273612756411,0.501,0.288,7.668771327505374e-8,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ppm1a,1.494422089403919e-23,0.7246460983877576,0.767,0.466,2.850311251120095e-19,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Cnot2,5.18448340322284e-11,0.7244854933369231,0.474,0.282,9.888365194966923e-7,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Cpxm1,6.410715922743916e-8,0.7241441443443871,0.312,0.17,0.0012227158479449472,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ehmt1,7.497500077960882e-10,0.724095360006115,0.345,0.181,1.429998189869479e-5,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Pcdhgb6,0.008434784445313637,0.722666751409605,0.129,0.08,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Plgrkt,1.5470866453267782e-12,0.7226546841518945,0.54,0.321,2.950758358631764e-8,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Dennd2a,7.796187634905717e-18,0.7221386004815986,0.582,0.311,1.4869668676055674e-13,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ogfr,2.1368008277224856e-16,0.7219608391178121,0.659,0.397,4.075520218715096e-12,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Naca,1.2410219366388687e-16,0.7213921167652181,0.704,0.443,2.3670011397513144e-12,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Mindy1,1.2872544737106456e-7,0.7212149769220446,0.33,0.194,0.0024551804577083143,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Uvrag,1.4291753779726035e-5,0.7211557284287109,0.178,0.088,0.27258661984071464,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Kif2a,1.0265027966221758e-11,0.7210834982663118,0.341,0.158,1.9578487839974757e-7,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Sat2,1.6848176045417405e-5,0.7209573822840076,0.19,0.1,0.32134526171424616,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Frrs1l,6.414396661819116e-14,0.7206779066270985,0.309,0.123,1.22341787530876e-9,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Nme1,2.9364968012428613e-13,0.7204521465355618,0.533,0.317,5.6007803490105095e-9,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Tent4b,4.701302290255755e-5,0.7202656686982745,0.156,0.079,0.8966793858204801,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Wipi1,9.936012609431478e-10,0.7201614854338321,0.51,0.332,1.8950956849968657e-5,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Hs3st3b1,0.0030112508139094486,0.7199352531394019,0.144,0.088,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Gnl3l,4.004868842474645e-8,0.719754540163306,0.397,0.244,7.63848634325189e-4,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Arl5b,1.3955040826814813e-8,0.719550058822377,0.321,0.174,2.6616449368983895e-4,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Spag7,3.8146319134406155e-17,0.7187037709205535,0.551,0.293,7.275647448505286e-13,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Lipa,7.844412194591151e-10,0.7185486567522134,0.375,0.205,1.4961647378743702e-5,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Itih5,0.9198143406201049,0.718284592781293,0.305,0.31,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Iqcb1,0.03223435991353074,0.718118681151767,0.106,0.07,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Dusp12,7.716750118347404e-9,0.7179205854707469,0.192,0.077,1.4718157500724004e-4,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ptrh2,7.780506694614902e-6,0.717719795585948,0.237,0.133,0.14839760418639003,Neopl-ACR_vs_Astrocyte-R,Shared/NS
H2afv,1.1235712433556376e-23,0.7173037390416543,0.761,0.446,2.1429874324522076e-19,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ptbp2,9.658561271662982e-13,0.7168369840283642,0.521,0.303,1.8421773913442807e-8,Neopl-ACR_vs_Astrocyte-R,Shared/NS
U2af1,8.503018533266022e-12,0.7167801506763827,0.431,0.238,1.6217807248498283e-7,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Cul4a,1.516247902786705e-14,0.7167789484966183,0.474,0.241,2.8919396249850827e-10,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Tada3,4.011646781560617e-6,0.7166344085192451,0.269,0.154,0.07651413906470565,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ik,2.340032099157305e-13,0.7165286045946592,0.598,0.367,4.463143222722728e-9,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Fus,1.5485131940975923e-14,0.716417534683659,0.693,0.456,2.953479215102338e-10,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ikzf5,5.807314428674235e-12,0.7161604380452753,0.456,0.258,1.1076290809810368e-7,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Nkapd1,3.807048251209724e-14,0.7159242217358734,0.391,0.178,7.261183129532306e-10,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Coq10a,2.889966134175273e-6,0.7157641516527389,0.278,0.161,0.055120324077124985,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ddx21,6.744381238892827e-13,0.7157516989679923,0.573,0.358,1.2863558336940288e-8,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Eif2a,1.4879451238665644e-9,0.7156596100065108,0.447,0.278,2.837957734750698e-5,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Tomm70a,4.38393709370702e-7,0.7155865142263512,0.357,0.215,0.0083614832188274,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ccndbp1,3.687546596566274e-8,0.7153389899474366,0.397,0.243,7.033257623630855e-4,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Fut11,2.2729918061888498e-4,0.7152177513253433,0.158,0.086,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Srsf5,2.059376842437793e-16,0.7151880166523781,0.736,0.468,3.927849451581602e-12,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Tada1,1.1461290191701321e-9,0.7151494791332274,0.314,0.156,2.186011878263193e-5,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Rcn1,1.1973628122638382e-15,0.7150500355914677,0.596,0.348,2.2837300918308187e-11,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Isy1,3.402583121372194e-7,0.7150342954612422,0.3,0.165,0.006489746787393186,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Frrs1,5.116016028047387e-6,0.7149032046945534,0.149,0.065,0.09757777370294782,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Apobec1,6.311523147651561e-9,0.7145039152692128,0.312,0.16,1.2037968099515823e-4,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Pgam5,4.0930223937039745e-10,0.7142150757659402,0.298,0.142,7.80662161151159e-6,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Zfp3,0.07465608033040956,0.7141084824559756,0.111,0.08,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Itgb1,7.545613121400994e-23,0.7140911430296122,0.849,0.67,1.4391747906448115e-18,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Fbxw4,3.6192314685723964e-4,0.7140241102687725,0.108,0.05,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Eaf1,1.5732776300061585e-7,0.7137841055711545,0.233,0.114,0.003000712423710746,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Zc3h15,1.3991026300302605e-10,0.7136405725660342,0.44,0.257,2.6685084462567157e-6,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Rprd2,3.937339781667902e-9,0.7134994668843511,0.348,0.185,7.50968816557519e-5,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ints14,1.5269146454254926e-11,0.7132863654397359,0.37,0.187,2.912284303220042e-7,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Cct5,4.1389808823202495e-7,0.7128916173904565,0.302,0.173,0.007894278236849413,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Plppr2,6.9442544398780915e-12,0.712864685412729,0.404,0.205,1.3244776493179483e-7,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Rnf44,9.032404402190666e-18,0.7128642316745435,0.691,0.429,1.7227504916298258e-13,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Rap1a,1.1859222473105958e-10,0.7127078782125432,0.512,0.321,2.2619095022954996e-6,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Irs1,1.5699641239657427e-10,0.7126571438388413,0.451,0.268,2.994392573639861e-6,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Dcaf5,5.7511237056579665e-6,0.7122053844521241,0.187,0.093,0.1096911824380144,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Dph6,1.4497999357120788e-5,0.7120990029495757,0.251,0.146,0.27652034173836476,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Prrc2a,4.9895585726927985e-14,0.7120561140211553,0.655,0.412,9.516585065696975e-10,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Smg7,3.304051630062403e-13,0.711952382777957,0.494,0.272,6.301817674018021e-9,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Crebbp,1.1325772084228764e-9,0.7117149674610588,0.51,0.327,2.1601645096249522e-5,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Insig2,5.6284668662013744e-5,0.7114604734360904,0.325,0.216,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Tnpo2,4.3856755077072294e-11,0.7114519498448587,0.506,0.31,8.364798895849999e-7,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Dcun1d4,2.518920199602169e-5,0.7114162340268912,0.221,0.123,0.4804336496701217,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Slitrk2,2.223064350714593e-12,0.7113502267042847,0.582,0.367,4.240050636117943e-8,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ctnnbip1,2.4921803187099595e-11,0.711343686326539,0.607,0.403,4.753335521875506e-7,Neopl-ACR_vs_Astrocyte-R,Shared/NS
BC005561,2.2892724810808158e-7,0.7113320113017926,0.323,0.187,0.00436632940316544,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Tcp1,3.371123701957775e-14,0.7108217185168288,0.567,0.334,6.429744236744064e-10,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Prkab1,2.9455715066840726e-5,0.7106571251025748,0.199,0.108,0.5618088534698532,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Spata6,1.6225134730289343e-7,0.7105642579402249,0.269,0.139,0.0030946199471080862,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Efna2,8.958325360651652e-6,0.7105477713034647,0.147,0.066,0.17086213960370897,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Myo9b,5.885035230978328e-7,0.7105237486297118,0.26,0.137,0.011224527696044964,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Utp15,7.588884418959626e-8,0.7104921083280094,0.235,0.111,0.0014474279252281695,Neopl-ACR_vs_Astrocyte-R,Shared/NS
H2afz,1.4707980677980685e-14,0.7097886238041243,0.472,0.236,2.805253154711256e-10,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ppp6r2,1.9357861991260616e-14,0.7096125902831966,0.506,0.272,3.6921250175931373e-10,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Usp38,2.1184655914760139e-7,0.7095827259543496,0.336,0.196,0.004040549422622201,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Pitrm1,3.883387151749367e-10,0.7094560479043707,0.451,0.264,7.406784314531568e-6,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Pafah1b2,2.691435904511619e-17,0.7092577152632384,0.725,0.466,5.133375700675011e-13,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Mpp2,7.314604876684689e-9,0.7091901075992096,0.336,0.178,1.3951145881300708e-4,Neopl-ACR_vs_Astrocyte-R,Shared/NS
