geneset,Astrocyte R,Astrocyte TE/NT,Ependymal,Neopl-ACR,Neopl-Bulk,Neopl-CC-I,Neopl-CC-II,Neopl-CC-III,Neopl-COP,Neopl-ECM,Neopl-NC,Neopl-OPC,Neopl-RNA-low,Neural,OPC/COP/OLG
Cahoy_JNeurosci_2008_astrocyte,2.344196682901436,2.4521864935002933,0.5055981422132677,1.0820539695713012,-0.15405795039558492,-0.4229647046528189,-0.4389674827656446,-0.4554442970648947,-0.633584571605055,-0.12855689491886937,-0.6041271246054455,0.039777362126996,-0.5524135527173043,-0.842353578228786,-0.4642440298184135
Cahoy_JNeurosci_2011_astro_mature,1.4218621157598204,2.490917879880265,0.31066038649707395,0.31039076642066,-0.3621768039892566,-0.6293517569347659,-0.7343709853637322,-0.7349144821579846,0.09487952708396806,-0.2559269123133343,0.051021018310236206,-0.03523408256782898,-0.3139199250827699,-0.23483349136535553,0.6298212094367193
Cahoy_JNeurosci_2015_astro_in_vivo,0.9794669784645988,2.3053972754997933,-0.6713803227124526,0.24912602764725209,-0.19380802945161296,-0.5616049878695136,-0.779351137232168,-0.7866601514995059,0.13084000206289215,-0.3940598549833885,-0.12905881232841793,0.507046776298673,-0.5570820604983917,-0.2081431687808272,0.499277993414752
Verhaak_CancerCell_2010_Classical,2.011735541648182,2.087935986263935,0.4860658600996808,0.523987230133246,-0.020156550001381918,-0.3012660435891348,-0.5006253657477041,-0.5518784279679027,-0.5372364124448846,-0.40114017524127143,-0.25542358122071773,-0.16718915145270966,-0.4765256635904737,-0.5976850294275019,-0.2368569580769339
Verhaak_CancerCell_2010_Neural,0.06082644820001648,0.9531262633122071,-1.080384569270788,-0.22063283985389726,-0.15701745580993606,-0.41695323267942463,-0.6249085822259011,-0.44768115654554863,0.8051545850891778,0.282473557183868,-0.07317997497055174,0.14284138732726542,-0.42462219256819583,-0.6750118534888266,0.932126378933722
Richards_Developmental_2021_short,0.04178882392014556,0.756806925790123,-1.5091841008485654,-0.5358151094717026,0.24076900847873015,-0.12306353964292142,-0.5689173674844564,-0.7234353590677591,0.0821058758448403,-0.28386939830255303,0.3358553755488327,1.3761690182285966,-0.7166330675263768,-0.1373185749681549,0.15183204941189377
Neftel_Cell_2019_AC,2.2376525173613007,1.6244448087007366,0.45059962346918797,1.3084347770988338,0.017356220685842753,-0.18965669990942724,-0.29934054807816063,-0.4175805602870397,-0.5118081355667184,0.3375911025847181,-0.8643979868991654,0.6068526321357673,-1.0722055630469822,-1.6800394881870393,-0.44388769723210386
Zhong_Nature_2018_Astrocytes_upreg,2.265672346437694,2.001874924943934,0.10366611225168121,1.0331634115446204,-0.012452116801693612,-0.2997169489858632,-0.47023301061442185,-0.5038418296827921,-0.441782395817922,0.012916272287004989,-0.9970992347374645,0.3755105485554079,-1.0065525058782996,-1.6940333816469229,-0.15624430915220625
Nowakowski_Science_2017_MGE-RG1_upreg,2.1311460057520084,1.476125401033752,0.7424787947811158,1.5597114695906547,0.176249544710972,-0.28704449719637,-0.37935186287128875,-0.560893372382501,-0.8040373844072601,0.0999907917132916,-1.1301637878740631,0.23525350766224448,-0.9472253235320994,-1.5338458764518246,-0.3010073289879428
Nowakowski_Science_2017_oRG_upreg,2.2205052844338256,1.2520380698251283,0.26167220501784877,1.3256631574285287,0.19570276345297455,-0.29558467178452724,-0.6273512553276389,-0.6177037955310732,-0.33335145239274827,0.2889622517558995,-1.459482302168929,0.2630861722688043,-1.0826787087759224,-2.0896195055014943,0.17754557050909664
Neftel_Cell_2019_MES1,3.534014701774452,0.10074793776028917,1.3927850326640074,1.9642416416488633,0.1987949169652041,-0.17525963988095883,-0.22937354027211104,-0.02932550873048805,-0.6548617318555875,0.16051373927863238,-0.6020243733149708,-0.46915113218458293,-0.5734668105359156,-1.3503317488404427,-0.256277331082996
Nowakowski_Science_2017_Astrocyte_upreg,1.8437806961987993,1.690994988108294,-0.48605463312561514,0.8133884358003898,0.12430156743073228,-0.2576280245691088,-0.5109837502297603,-0.5530249771131177,-0.4769484102499759,0.020495312240772133,-1.1013560145922874,0.6747109200318385,-1.1775287957598803,-1.840003149640935,-0.05958698423408711
Nowakowski_Science_2017_vRG_upreg,1.9028814293763945,0.8088876163130729,-0.17271160277658587,1.515310351145908,0.4133067118743646,-0.1167277324864961,-0.415605062934027,-0.3973572936809222,-1.1184791455141385,0.3121636487553491,-1.4119669604003011,0.24758580759210455,-1.0672367321416347,-1.9068990463827247,-0.44406001057625255
Nowakowski_Science_2017_tRG_upreg,1.8113963035635332,0.53140822012754,0.07937628469940634,1.4225635436111832,0.4060337005130933,0.14101958836460207,-0.1774153474235953,-0.1862889268872913,-1.0132115830419055,0.5475603434375925,-1.6948689289696537,-0.1402100958407074,-0.941610088946561,-2.356667619803194,-0.668682019130985
Richards_InjuryResponse_2021,2.149381046349496,0.1093613262550208,0.5722516403925472,1.4755996856859392,0.1617082870359393,-0.22105498626428105,-0.6598369042969796,-0.06690228523334173,-0.26930263845727526,0.5881857015985598,-0.32404195685056103,-0.984415389884398,0.015915113205396476,-1.0668227152386387,0.0154388542408606
Liddelow_Nature_2017_A1_reactive_astrocytes,2.8932235550460477,-0.9381484829819619,-0.13399178983373802,2.030422057102754,0.4160065098217975,0.06889485045253096,0.05625267001379911,-0.026117456410307233,0.0721982537235217,0.2809027647847176,-0.05127992311122132,0.011120644575569502,-0.3025690325109753,-0.9752140873191683,-0.7135327756893802
Cahoy_JNeurosci_2016_cultured_astroglia,-0.02868687273178732,-2.1846345820797035,-0.07630360765503694,0.5579417836636849,0.21144280685979577,0.5207165756982863,0.9569665718861825,1.0345896478643564,-0.4116800350946419,0.3674298090692061,-0.40067534568582125,-0.6020547186320961,-0.17041035987449782,-0.3905840281327301,-0.6061955815690008
