Groups,Gene,Avg.Exp,P.Exp
Neoplastic ACR,Tg-hPDGFB-nHA,3.267361491621785,95.48532731376976
Neoplastic ACR,Tg-RFP-1,1.2440914164291608,73.36343115124153
Neoplastic ACR,Tmsb10,1.3935132126695586,83.52144469525959
Neoplastic ACR,Vim,3.431143415618757,99.54853273137697
Astrocyte R,Aqp4,3.3643197747003675,94.95091164095372
Astrocyte R,Basp1,0.35653601885189184,23.14165497896213
Astrocyte R,C4b,2.4294306494496776,88.35904628330997
Astrocyte R,Ccdc80,0.8747045393433063,58.345021037868165
Astrocyte R,Cd44,1.5343637985272807,74.05329593267882
Astrocyte R,Cdkn2a,0.12416874550637506,11.079943899018232
Astrocyte R,Daam2,1.1297261056340675,66.05890603085554
Astrocyte R,Fgfr3,1.561373265282233,75.03506311360448
Astrocyte R,Fxyd1,1.964495539932262,85.69424964936886
Astrocyte R,Gfap,4.357706677312585,99.01823281907434
Astrocyte R,Gja1,2.2925959133009397,81.06591865357645
Astrocyte R,Id3,2.1567621797338474,84.9929873772791
Astrocyte R,Id4,1.658804338877474,74.89481065918653
Astrocyte R,Ifitm3,1.5522179737406738,72.51051893408135
Astrocyte R,Il1rap,0.3477054781545137,26.788218793828893
Astrocyte R,Lhfpl3,0.2923864228274958,18.2328190743338
Astrocyte R,Lrig1,1.379111349138588,73.07152875175316
Astrocyte R,Marcksl1,1.1707086663069877,64.3758765778401
Astrocyte R,Mlc1,2.3503161137531086,87.37727910238429
Astrocyte R,Ntsr2,1.156020399315569,61.57082748948106
Astrocyte R,P4ha3,1.0282550818135074,62.552594670406734
Astrocyte R,Pdpn,1.5638481022980466,78.96213183730715
Astrocyte R,Ptx3,0.43579322249543206,28.892005610098177
Astrocyte R,Slc6a11,1.884206375165536,78.40112201963534
Astrocyte R,Sulf2,1.1444956673605817,61.85133239831697
Astrocyte R,Tagln2,1.0310692363358525,58.76577840112201
Astrocyte R,Tg-hPDGFB-nHA,0.2335339929849821,19.49509116409537
Astrocyte R,Tmsb10,0.47827956380559306,36.605890603085555
Astrocyte R,Vim,3.6181252786532725,98.03646563814866
Astrocyte TE/NT,Aqp4,2.2891549707567256,85.14896520354787
Astrocyte TE/NT,C4b,0.2852980820624524,15.533318171480555
Astrocyte TE/NT,Ccdc80,0.3157222632525498,21.764839663406867
Astrocyte TE/NT,Cd44,0.07623564776697656,6.299749829429156
Astrocyte TE/NT,Daam2,1.5074343186053303,69.752103707073
Astrocyte TE/NT,Fgfr3,2.4252490823818427,89.76574937457357
Astrocyte TE/NT,Fxyd1,1.8308067077929635,80.98703661587446
Astrocyte TE/NT,Gfap,0.4854699423276565,23.106663634296112
Astrocyte TE/NT,Gja1,3.7643999397795036,98.52171935410507
Astrocyte TE/NT,Id3,0.9301188681526611,44.416647714350695
Astrocyte TE/NT,Id4,1.1680027128475379,53.28633158972026
Astrocyte TE/NT,Lrig1,1.239874575422866,59.26768251080282
Astrocyte TE/NT,Marcksl1,0.17241699168920155,11.667045712986127
Astrocyte TE/NT,Mlc1,2.0917174745666527,83.57971344098249
Astrocyte TE/NT,Ntsr2,2.3123396533852687,89.42460768705935
Astrocyte TE/NT,P4ha3,0.2517843064081432,17.48919717989538
Astrocyte TE/NT,Pdpn,0.5198602030277669,33.65931316806914
Astrocyte TE/NT,Slc6a11,3.188024468106014,93.88219240391176
Astrocyte TE/NT,Vim,0.21936291719967982,13.554696383898113
Non-Neoplastic (other),Aqp4,0.11469766466652138,7.659574468085106
Non-Neoplastic (other),Basp1,0.9115717812773528,47.46200607902736
Non-Neoplastic (other),C4b,0.5993703220173213,25.060790273556233
Non-Neoplastic (other),Cdkn2a,0.05260064204841922,5.33434650455927
Non-Neoplastic (other),Daam2,0.6487107775159657,40.66869300911854
Non-Neoplastic (other),Fgfr3,0.0819063158479514,8.024316109422493
Non-Neoplastic (other),Fxyd1,0.10980217023995292,7.234042553191489
Non-Neoplastic (other),Gfap,0.19966205534687329,14.19452887537994
Non-Neoplastic (other),Gja1,0.13392636688974371,7.750759878419452
