rank,ES
8043,0.14837434192094
8044,0.14848477780682678
8053,0.14796249368426406
8054,0.1480653175912176
8065,0.14742697033030763
8066,0.1475214202676131
8093,0.14595456789992525
8094,0.14603145787032357
8222,0.1386034170160987
8223,0.13861307536503625
8276,0.13553740219883387
8277,0.13554986334497
8499,0.12266685498842407
8500,0.12271510707685934
8741,0.1087294989060143
8742,0.10889790485030865
8798,0.10564813697658534
8799,0.10584962258228603
8830,0.10405064393790348
8831,0.10427063082502142
8939,0.09800322135426924
8940,0.09829486218307981
8995,0.09510312587853016
8996,0.09543357828012522
9061,0.09166152628383924
9062,0.09202901541754382
9094,0.09017200520398763
9095,0.0905530961755805
9196,0.08469190768904386
9197,0.08512516529865388
9224,0.08355831293096572
9225,0.08400469689114776
9327,0.07808547683543761
9328,0.07859694461427769
9558,0.06524968370434261
9559,0.06581966277458029
9659,0.06001650585721718
9660,0.060592906451219064
9708,0.05780739113088491
9709,0.05841099988434517
9831,0.05133114844516218
9832,0.05197426873408495
9844,0.05127788990400137
9845,0.051926189898181985
9932,0.04687744338007622
9933,0.047573860672498025
9943,0.04699354498076167
9944,0.047696162191765756
9944,0.047696162191765805
9945,0.04839930261669245
9963,0.047354734371567106
9964,0.048065870543114064
9972,0.04760161798972514
9973,0.048314836932068395
10076,0.04233758530718438
10077,0.04310613818474318
10127,0.040204559726061725
10128,0.04099987747605649
10129,0.040941845906882775
10130,0.0417397054938371
10206,0.03732930623664124
10207,0.03816450274758321
10211,0.037932376470888714
10212,0.03876887291400721
10272,0.03528697876358937
10273,0.0361593796555052
10307,0.0341863063036018
10308,0.035076198431690964
10607,0.017724759248775382
10608,0.018772670337926067
10628,0.017612038954453478
10629,0.018670387910230346
10717,0.013563609822950818
10718,0.014655588528726615
10928,0.0024689590022643265
10929,0.0036477632710802954
10990,1.0783755148880618e-4
10991,0.0013224476880154823
10998,9.162267037999946e-4
10999,0.002133836096754438
11117,-0.00471388906573396
11118,-0.0034217470154648266
11122,-0.0036538732921592406
11123,-0.002359935546887071
11126,-0.002534030254408004
11127,-0.0012376373429540122
11157,-0.0029785844181629655
11158,-0.0016635475425887947
11209,-0.004623157570443903
11210,-0.0032744074860872052
11287,-0.007742838312456684
11288,-0.0063501301068915605
11297,-0.006872414229454246
11298,-0.00547416005854795
11373,-0.009826527746570276
11374,-0.008383298864698796
11384,-0.008963614556435111
11385,-0.007514624154432714
11502,-0.01430431774774743
11503,-0.01279361190045114
11566,-0.016449600758389814
11567,-0.014904937279678565
11723,-0.023957862070764852
11724,-0.022328758146307415
11776,-0.025346399743336374
11777,-0.023687362160501158
11780,-0.023861456868021918
11781,-0.022201993927602914
11790,-0.022724278050165705
11791,-0.021056873498581652
11795,-0.021288999775276096
11796,-0.019616747360598152
11844,-0.022402262680932424
11845,-0.020707187442898567
12163,-0.03916122644011295
12164,-0.03726701391735132
12168,-0.03749914019404591
12169,-0.03560144870591464
12247,-0.04012791110145793
12248,-0.03817835936045255
12435,-0.04903026279592134
12436,-0.0469619821241789
12460,-0.04835473978434603
12461,-0.046274631861702886
12462,-0.04633266343087654
12463,-0.04424967012806791
12609,-0.05272227922741797
12610,-0.05053627185728127
12638,-0.05216115579414294
12639,-0.049951186897754685
12691,-0.05296882849478334
12692,-0.050719993776939254
12706,-0.05153243574537015
12707,-0.04927346699087731
12709,-0.049389530129224514
12710,-0.0471285915587466
12713,-0.047302686266267484
12714,-0.045038126389895905
12748,-0.04701119974179931
12749,-0.044720930076196375
12787,-0.04692612970479433
12788,-0.04461181883848009
12798,-0.04519213453021639
12799,-0.04287066623123659
12887,-0.04797744431851596
12888,-0.04559646946968077
12962,-0.049890805588529374
12963,-0.047469278965627026
13064,-0.05333046745216376
13065,-0.05083839741329188
13089,-0.05223115507345905
13090,-0.0497245235852396
13094,-0.0499566498619341
13095,-0.04744485075714899
13275,-0.05789053320840261
13276,-0.05525053408684044
13312,-0.057339670577091086
13313,-0.05467164748013531
13379,-0.05850173104559504
13380,-0.055781391335998354
13413,-0.05769643311872807
13414,-0.05495225525738534
13434,-0.05611288664085802
13435,-0.053353861920499956
13578,-0.061652376312329116
13579,-0.058766187842496986
13700,-0.0657880077125062
13701,-0.06279387109008105
13723,-0.06407056561190091
13724,-0.06105024640938472
13759,-0.06308135133046193
13760,-0.06002684524282054
13768,-0.06049109779620948
13769,-0.057431399992840304
13784,-0.05830187353044485
13785,-0.05523083797049222
13791,-0.05557902738553403
13792,-0.052499888618966484
13874,-0.057258477291204146
